label,address,kind,belief,source_file,current_usage,validation_method,evidence,confidence,build_scope,revalidate_after_update,notes
"scr_get_variable_value_address","0x0067C1B0","code","Script VM helper that returns a pointer to variable storage.","tools/ghidra/BO2ScriptRecon.java; artifacts/reverse/function-catalog.csv","Static understanding; explains rejected public candidate.","Ghidra exact instruction and xrefs.","vm_notify calls it at 0x008f3321 and 0x008f361f; rejected public candidate 0x008F3620 lies inside the latter call immediate.","strong_candidate","Current Steam build only.","Recheck instruction boundaries on update.",""
"scr_set_variable_field","0x0058F9E0","code","Script VM helper that assigns or links variable fields.","tools/ghidra/BO2ScriptRecon.java; artifacts/reverse/function-catalog.csv","Static understanding of object/field mutation path.","Ghidra function catalog and vm_notify callsites.","Called from vm_notify at several branches; calls scr_find_variable internally at 0x0058f9f6.","strong_candidate","Current Steam build only.","Needs deeper decompilation before direct use.","No production monitor call."
"scr_find_object","0x00474EA0","code","Script VM helper that resolves object metadata by id.","tools/ghidra/BO2ScriptRecon.java; artifacts/reverse/function-catalog.csv","Static understanding of object traversal.","Ghidra function catalog and vm_notify callsites.","Called around vm_notify object traversal and field creation branches.","strong_candidate","Current Steam build only.","Needs deeper decompilation before direct use.","No production monitor call."
"scr_var_glob","0x02DEA400","data_region_candidate","Likely start or interior of script VM global data region.","tools/ghidra/BO2ScriptRecon.java; artifacts/reverse/globals-catalog.csv","Orientation anchor for nearby script VM globals.","Ghidra data block only; exact address has no direct xrefs in exported catalog.","weak_candidate","Current Steam build only.","Prefer child bucket/child variable pointer slot xrefs for concrete work.","Do not use as a direct runtime dependency yet."
"points","0x0234C068","int_data","Current points value for local player/team scoreboard view used by the app.","Services/PlayerStatAddressMap.cs; BO2Monitor/Hook.cpp","Mandatory managed stat read; polling fallback event source.","Repo address map, native fallback reuse, tests for read path.","ReadInt32 is mandatory in GameMemoryReader; fallback validates 0..2000000 and publishes points_changed on any change.","confirmed","Current Steam build only.","Confirm address and value range in a live match after update.","No live runtime read in this run."
"kills","0x0234C080","int_data","Current kills stat.","Services/PlayerStatAddressMap.cs; BO2Monitor/Hook.cpp","Mandatory managed stat read; polling fallback event source.","Repo address map, native fallback reuse, tests for read path.","ReadInt32 is mandatory; fallback validates 0..100000 and only publishes increases.","confirmed","Current Steam build only.","Confirm address and value range after update.",""
"downs","0x0234C084","int_data","Current downs stat.","Services/PlayerStatAddressMap.cs; BO2Monitor/Hook.cpp","Mandatory managed stat read; polling fallback event source.","Repo address map, native fallback reuse, tests for read path.","ReadInt32 is mandatory; fallback validates 0..1000 and only publishes increases.","confirmed","Current Steam build only.","Confirm address and value range after update.",""
"revives","0x0234C088","int_data","Current revives stat.","Services/PlayerStatAddressMap.cs","Mandatory managed stat read.","Repo address map and tests for read path.","ReadInt32 is mandatory in GameMemoryReader.","confirmed","Current Steam build only.","Confirm address after update.",""
"headshots","0x0234C08C","int_data","Current headshots stat.","Services/PlayerStatAddressMap.cs","Mandatory managed stat read.","Repo address map and tests for read path.","ReadInt32 is mandatory in GameMemoryReader.","confirmed","Current Steam build only.","Confirm address after update.",""
"round","0x0233FA10","int_data","Current Zombies round value.","Services/PlayerStatAddressMap.cs; BO2Monitor/Hook.cpp","Managed candidate read; native notify publication for start/end rounds; polling fallback.","Repo map, native value guard, fallback value filters.","TryReadLiveRoundValue accepts 1..255; fallback publishes round_changed only for increases in 2..255.","confirmed","Current Steam build only.","Confirm address and off-by-one semantics after update.","Start/end round notify records publish live round value when available."
"local_player_base","0x02346AA0","structure_base_candidate","Base for local-player state block inferred from contiguous candidate addresses.","Services/PlayerStatAddressMap.cs","Documentation and optional candidate reads.","Repo address deltas; code currently stores absolute addresses rather than base + offset.","Position X/Y/Z at +0x28/+0x2C/+0x30; ammo fields around +0x428..+0x440.","strong_candidate","Current Steam build only.","Recover structure type from static references or live watchpoints before expanding features.",""
"gentity_array","0x021C56C0","structure_base_candidate","Likely GEntity array base.","Services/PlayerStatAddressMap.cs","Documentation only, plus related health candidate.","Repo arithmetic only.","GEntity player health = base + 0x1A8; zombie0 = base + 22 * 0x31C.","weak_candidate","Current Steam build only.","Static xrefs and live entity iteration needed.",""
"sv_running","0x02A09F00","state_data_candidate","Server-running indicator for game timing.","Services/GameTimingAddressMap.cs","Managed timer reader.","Repo address map and unit tests with fake memory.","Timing reader requires readable nonzero server-running before producing in-game state.","strong_candidate","Current Steam build only.","Confirm with live menu/match transitions after update.",""
"cl_paused","0x02A09DE0","state_data_candidate","Client pause flag for game timing.","Services/GameTimingAddressMap.cs","Managed timer reader.","Repo address map and unit tests with fake memory.","0 is treated as unpaused; nonzero as paused.","strong_candidate","Current Steam build only.","Confirm with live pause/menu transitions after update.",""
"client_active_pointer","0x0119DC04","pointer_candidate","Pointer to client-active timing structure.","Services/GameTimingAddressMap.cs","Managed timer reader.","Repo address map and unit tests with fake memory.","Reader follows pointer, requires snapshot valid at +0x50, reads game time ms at +0x58.","strong_candidate","Current Steam build only.","Confirm pointer chain after update.",""
"snapshot_contract_v6","0x45324F42/version 6","abi","contracts/EventMonitorSnapshotContract.v1.json","Native BO2Monitor.dll to managed app shared-memory bridge.","Generated constants, native static_assert, unit/native tests.","Header size 36, record size 148, map size 18980, max events 128, event/weapon names 64 bytes each.","confirmed","Repo ABI, not game build-specific.","Regenerate contract and fixtures if ABI changes.","Names: BO2MonitorSharedMem-, BO2MonitorEvent-, BO2MonitorStopEvent- plus PID."
